"승차노선","표종","인원","단위"
경부선,"1회권무임",1235529,명
경부선,"1회권어른",984382,명
경부선,"1회권어린이",195836,명
경부선,"1회권청소년",0,명
경부선,RF무임,22668706,명
경부선,RF어린이,377359,명
경부선,RF일반,128983605,명
경부선,RF정기권,1569292,명
경부선,RF청소년,4202597,명
경부선,단체권,570,명
경부선,어른,0,명
경부선,어린이,0,명
경부선,정액권,0,명
중앙선,"1회권무임",164818,명
중앙선,"1회권어른",104184,명
중앙선,"1회권어린이",40197,명
중앙선,"1회권청소년",0,명
중앙선,RF무임,5994188,명
중앙선,RF어린이,83537,명
중앙선,RF일반,15237943,명
중앙선,RF정기권,280346,명
중앙선,RF청소년,988549,명
중앙선,단체권,931,명
중앙선,어른,0,명
중앙선,어린이,0,명
중앙선,정액권,0,명
경인선,"1회권무임",558744,명
경인선,"1회권어른",343016,명
경인선,"1회권어린이",110829,명
경인선,"1회권청소년",0,명
경인선,RF무임,18593808,명
경인선,RF어린이,309589,명
경인선,RF일반,66523337,명
경인선,RF정기권,955023,명
경인선,RF청소년,3111595,명
경인선,단체권,8383,명
경인선,어른,0,명
경인선,어린이,0,명
경인선,정액권,0,명
수인선,"1회권무임",128260,명
수인선,"1회권어른",108884,명
수인선,"1회권어린이",40296,명
수인선,"1회권청소년",0,명
수인선,RF무임,3808982,명
수인선,RF어린이,73885,명
수인선,RF일반,14253131,명
수인선,RF정기권,44586,명
수인선,RF청소년,991785,명
수인선,단체권,2864,명
수인선,어른,0,명
수인선,어린이,0,명
수인선,정액권,0,명
장항선,"1회권무임",145422,명
장항선,"1회권어른",101805,명
장항선,"1회권어린이",18215,명
장항선,"1회권청소년",0,명
장항선,RF무임,953581,명
장항선,RF어린이,16855,명
장항선,RF일반,3831465,명
장항선,RF정기권,11964,명
장항선,RF청소년,303680,명
장항선,단체권,528,명
장항선,어른,0,명
장항선,어린이,0,명
장항선,정액권,0,명
경의선,"1회권무임",224511,명
경의선,"1회권어른",180384,명
경의선,"1회권어린이",69660,명
경의선,"1회권청소년",0,명
경의선,RF무임,6701698,명
경의선,RF어린이,139716,명
경의선,RF일반,29173439,명
경의선,RF정기권,269490,명
경의선,RF청소년,1549361,명
경의선,단체권,9430,명
경의선,어른,0,명
경의선,어린이,0,명
경의선,정액권,0,명
경원선,"1회권무임",509729,명
경원선,"1회권어른",329751,명
경원선,"1회권어린이",106325,명
경원선,"1회권청소년",0,명
경원선,RF무임,20351534,명
경원선,RF어린이,274714,명
경원선,RF일반,56256378,명
경원선,RF정기권,1397556,명
경원선,RF청소년,2566655,명
경원선,단체권,1317,명
경원선,어른,0,명
경원선,어린이,0,명
경원선,정액권,0,명
경춘선,"1회권무임",118737,명
경춘선,"1회권어른",93173,명
경춘선,"1회권어린이",31258,명
경춘선,"1회권청소년",0,명
경춘선,RF무임,3425989,명
경춘선,RF어린이,47767,명
경춘선,RF일반,8578083,명
경춘선,RF정기권,69466,명
경춘선,RF청소년,609678,명
경춘선,단체권,1206,명
경춘선,어른,0,명
경춘선,어린이,0,명
경춘선,정액권,0,명
안산선,"1회권무임",205829,명
안산선,"1회권어른",242297,명
안산선,"1회권어린이",65940,명
안산선,"1회권청소년",0,명
안산선,RF무임,5680819,명
안산선,RF어린이,133356,명
안산선,RF일반,31425695,명
안산선,RF정기권,227449,명
안산선,RF청소년,1617833,명
안산선,단체권,390,명
안산선,어른,0,명
안산선,어린이,0,명
안산선,정액권,0,명
과천선,"1회권무임",165628,명
과천선,"1회권어른",111249,명
과천선,"1회권어린이",56297,명
과천선,"1회권청소년",0,명
과천선,RF무임,5680101,명
과천선,RF어린이,156281,명
과천선,RF일반,26296569,명
과천선,RF정기권,245297,명
과천선,RF청소년,935208,명
과천선,단체권,794,명
과천선,어른,0,명
과천선,어린이,0,명
과천선,정액권,0,명
분당선,"1회권무임",622938,명
분당선,"1회권어른",450323,명
분당선,"1회권어린이",142729,명
분당선,"1회권청소년",0,명
분당선,RF무임,20264378,명
분당선,RF어린이,368786,명
분당선,RF일반,97578200,명
분당선,RF정기권,1356843,명
분당선,RF청소년,4972862,명
분당선,단체권,220,명
분당선,어른,0,명
분당선,어린이,0,명
분당선,정액권,0,명
일산선,"1회권무임",195566,명
일산선,"1회권어른",121168,명
일산선,"1회권어린이",51095,명
일산선,"1회권청소년",0,명
일산선,RF무임,7834885,명
일산선,RF어린이,137756,명
일산선,RF일반,25973440,명
일산선,RF정기권,243177,명
일산선,RF청소년,1303756,명
일산선,단체권,600,명
일산선,어른,0,명
일산선,어린이,0,명
일산선,정액권,0,명
경강선,"1회권무임",71147,명
경강선,"1회권어른",60402,명
경강선,"1회권어린이",18419,명
경강선,"1회권청소년",0,명
경강선,RF무임,1670340,명
경강선,RF어린이,31835,명
경강선,RF일반,8478005,명
경강선,RF정기권,103828,명
경강선,RF청소년,503762,명
경강선,단체권,344,명
경강선,어른,0,명
경강선,어린이,0,명
경강선,정액권,0,명
소사원시선,"1회권무임",66368,명
소사원시선,"1회권어른",49944,명
소사원시선,"1회권어린이",14549,명
소사원시선,"1회권청소년",0,명
소사원시선,RF무임,1929982,명
소사원시선,RF어린이,31765,명
소사원시선,RF일반,8319757,명
소사원시선,RF정기권,75189,명
소사원시선,RF청소년,387747,명
소사원시선,단체권,0,명
소사원시선,어른,0,명
소사원시선,어린이,0,명
소사원시선,정액권,0,명
동해선,"1회권무임",757395,명
동해선,"1회권어른",201257,명
동해선,"1회권어린이",75708,명
동해선,"1회권청소년",53357,명
동해선,RF무임,4618274,명
동해선,RF어린이,96676,명
동해선,RF일반,9607246,명
동해선,RF정기권,32787,명
동해선,RF청소년,636826,명
동해선,단체권,7501,명
동해선,어른,0,명
동해선,어린이,0,명
동해선,정액권,0,명
지하1호선,"1회권무임",259853,명
지하1호선,"1회권어른",117056,명
지하1호선,"1회권어린이",27014,명
지하1호선,"1회권청소년",0,명
지하1호선,RF무임,8641029,명
지하1호선,RF어린이,68383,명
지하1호선,RF일반,22551308,명
지하1호선,RF정기권,579330,명
지하1호선,RF청소년,373871,명
지하1호선,단체권,126,명
지하1호선,어른,0,명
지하1호선,어린이,0,명
지하1호선,정액권,0,명
지하2호선,"1회권무임",286585,명
지하2호선,"1회권어른",255455,명
지하2호선,"1회권어린이",51244,명
지하2호선,"1회권청소년",0,명
지하2호선,RF무임,8202536,명
지하2호선,RF어린이,131299,명
지하2호선,RF일반,53985896,명
지하2호선,RF정기권,1348515,명
지하2호선,RF청소년,1608216,명
지하2호선,단체권,0,명
지하2호선,어른,0,명
지하2호선,어린이,0,명
지하2호선,정액권,0,명
지하3호선,"1회권무임",148772,명
지하3호선,"1회권어른",92170,명
지하3호선,"1회권어린이",28015,명
지하3호선,"1회권청소년",0,명
지하3호선,RF무임,5089030,명
지하3호선,RF어린이,82411,명
지하3호선,RF일반,22351258,명
지하3호선,RF정기권,583828,명
지하3호선,RF청소년,718383,명
지하3호선,단체권,0,명
지하3호선,어른,0,명
지하3호선,어린이,0,명
지하3호선,정액권,0,명
지하4호선,"1회권무임",164579,명
지하4호선,"1회권어른",117428,명
지하4호선,"1회권어린이",31936,명
지하4호선,"1회권청소년",0,명
지하4호선,RF무임,5349416,명
지하4호선,RF어린이,88906,명
지하4호선,RF일반,23685704,명
지하4호선,RF정기권,624856,명
지하4호선,RF청소년,766840,명
지하4호선,단체권,273,명
지하4호선,어른,0,명
지하4호선,어린이,0,명
지하4호선,정액권,0,명
지하5호선,"1회권무임",117572,명
지하5호선,"1회권어른",84162,명
지하5호선,"1회권어린이",24908,명
지하5호선,"1회권청소년",0,명
지하5호선,RF무임,4010178,명
지하5호선,RF어린이,62795,명
지하5호선,RF일반,20044076,명
지하5호선,RF정기권,576429,명
지하5호선,RF청소년,632978,명
지하5호선,단체권,29,명
지하5호선,어른,0,명
지하5호선,어린이,0,명
지하5호선,정액권,0,명
지하6호선,"1회권무임",66615,명
지하6호선,"1회권어른",45199,명
지하6호선,"1회권어린이",12990,명
지하6호선,"1회권청소년",0,명
지하6호선,RF무임,2722094,명
지하6호선,RF어린이,41218,명
지하6호선,RF일반,12457115,명
지하6호선,RF정기권,352764,명
지하6호선,RF청소년,373377,명
지하6호선,단체권,0,명
지하6호선,어른,0,명
지하6호선,어린이,0,명
지하6호선,정액권,0,명
지하7호선,"1회권무임",189442,명
지하7호선,"1회권어른",122372,명
지하7호선,"1회권어린이",29780,명
지하7호선,"1회권청소년",0,명
지하7호선,RF무임,6840816,명
지하7호선,RF어린이,87785,명
지하7호선,RF일반,31190227,명
지하7호선,RF정기권,941108,명
지하7호선,RF청소년,955983,명
지하7호선,단체권,0,명
지하7호선,어른,0,명
지하7호선,어린이,0,명
지하7호선,정액권,0,명
지하8호선,"1회권무임",50858,명
지하8호선,"1회권어른",29163,명
지하8호선,"1회권어린이",9132,명
지하8호선,"1회권청소년",0,명
지하8호선,RF무임,1940898,명
지하8호선,RF어린이,24788,명
지하8호선,RF일반,8261179,명
지하8호선,RF정기권,182359,명
지하8호선,RF청소년,272204,명
지하8호선,단체권,0,명
지하8호선,어른,0,명
지하8호선,어린이,0,명
지하8호선,정액권,0,명
인천1호선,"1회권무임",74109,명
인천1호선,"1회권어른",56023,명
인천1호선,"1회권어린이",14797,명
인천1호선,"1회권청소년",0,명
인천1호선,RF무임,2107706,명
인천1호선,RF어린이,31301,명
인천1호선,RF일반,10343816,명
인천1호선,RF정기권,100789,명
인천1호선,RF청소년,451894,명
인천1호선,단체권,0,명
인천1호선,어른,0,명
인천1호선,어린이,0,명
인천1호선,정액권,0,명
인천2호선,"1회권무임",37953,명
인천2호선,"1회권어른",16957,명
인천2호선,"1회권어린이",4942,명
인천2호선,"1회권청소년",0,명
인천2호선,RF무임,1254078,명
인천2호선,RF어린이,11636,명
인천2호선,RF일반,3169740,명
인천2호선,RF정기권,30473,명
인천2호선,RF청소년,189149,명
인천2호선,단체권,0,명
인천2호선,어른,0,명
인천2호선,어린이,0,명
인천2호선,정액권,0,명
우이신설경전철,"1회권무임",9166,명
우이신설경전철,"1회권어른",3328,명
우이신설경전철,"1회권어린이",1064,명
우이신설경전철,"1회권청소년",0,명
우이신설경전철,RF무임,370495,명
우이신설경전철,RF어린이,4163,명
우이신설경전철,RF일반,1218036,명
우이신설경전철,RF정기권,40347,명
우이신설경전철,RF청소년,42900,명
우이신설경전철,단체권,0,명
우이신설경전철,어른,0,명
우이신설경전철,어린이,0,명
우이신설경전철,정액권,0,명
신림선,"1회권무임",9937,명
신림선,"1회권어른",5299,명
신림선,"1회권어린이",1393,명
신림선,"1회권청소년",0,명
신림선,RF무임,353378,명
신림선,RF어린이,4592,명
신림선,RF일반,1365029,명
신림선,RF정기권,33781,명
신림선,RF청소년,31018,명
신림선,단체권,0,명
신림선,어른,0,명
신림선,어린이,0,명
신림선,정액권,0,명
김포도시철도,"1회권무임",5236,명
김포도시철도,"1회권어른",2464,명
김포도시철도,"1회권어린이",813,명
김포도시철도,"1회권청소년",0,명
김포도시철도,RF무임,141746,명
김포도시철도,RF어린이,2042,명
김포도시철도,RF일반,523484,명
김포도시철도,RF정기권,5504,명
김포도시철도,RF청소년,16988,명
김포도시철도,단체권,0,명
김포도시철도,어른,0,명
김포도시철도,어린이,0,명
김포도시철도,정액권,0,명
"9호선","1회권무임",88786,명
"9호선","1회권어른",68974,명
"9호선","1회권어린이",13739,명
"9호선","1회권청소년",0,명
"9호선",RF무임,2453072,명
"9호선",RF어린이,37858,명
"9호선",RF일반,13913052,명
"9호선",RF정기권,313830,명
"9호선",RF청소년,357984,명
"9호선",단체권,89,명
"9호선",어른,0,명
"9호선",어린이,0,명
"9호선",정액권,0,명
공항철도,"1회권무임",22655,명
공항철도,"1회권어른",29017,명
공항철도,"1회권어린이",7123,명
공항철도,"1회권청소년",0,명
공항철도,RF무임,357170,명
공항철도,RF어린이,11890,명
공항철도,RF일반,3199330,명
공항철도,RF정기권,42622,명
공항철도,RF청소년,110976,명
공항철도,단체권,0,명
공항철도,어른,0,명
공항철도,어린이,0,명
공항철도,정액권,0,명
신분당선,"1회권무임",43124,명
신분당선,"1회권어른",18861,명
신분당선,"1회권어린이",5379,명
신분당선,"1회권청소년",0,명
신분당선,RF무임,1424946,명
신분당선,RF어린이,16975,명
신분당선,RF일반,5792041,명
신분당선,RF정기권,218399,명
신분당선,RF청소년,216825,명
신분당선,단체권,0,명
신분당선,어른,0,명
신분당선,어린이,0,명
신분당선,정액권,0,명
용인경전철,"1회권무임",16856,명
용인경전철,"1회권어른",10186,명
용인경전철,"1회권어린이",3344,명
용인경전철,"1회권청소년",0,명
용인경전철,RF무임,578390,명
용인경전철,RF어린이,9181,명
용인경전철,RF일반,1700912,명
용인경전철,RF정기권,15998,명
용인경전철,RF청소년,166993,명
용인경전철,단체권,0,명
용인경전철,어른,0,명
용인경전철,어린이,0,명
용인경전철,정액권,0,명
의정부경전철,"1회권무임",12794,명
의정부경전철,"1회권어른",5353,명
의정부경전철,"1회권어린이",2226,명
의정부경전철,"1회권청소년",0,명
의정부경전철,RF무임,183907,명
의정부경전철,RF어린이,6889,명
의정부경전철,RF일반,1569351,명
의정부경전철,RF정기권,57285,명
의정부경전철,RF청소년,82145,명
의정부경전철,단체권,0,명
의정부경전철,어른,0,명
의정부경전철,어린이,0,명
의정부경전철,정액권,0,명
