,연번,수송일자,호선,역번호,역명,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후
32099,32100,2023-03-01,1호선,150,서울역,하차,225,935,1078,1440,2232,2282,2819,3256,2676,2419,2739,2732,2436,2100,1550,1248,1101,585,343,38
32642,32643,2023-03-02,1호선,150,서울역,승차,305,517,1753,3043,2013,1794,2046,2431,2494,2157,2873,3412,5517,8819,4092,2716,2747,1691,628,89
32643,32644,2023-03-02,1호선,150,서울역,하차,317,1866,4477,10038,5992,2400,2074,2199,2142,1999,2233,2310,2688,2986,1888,1216,1154,828,398,100
33188,33189,2023-03-03,1호선,150,서울역,승차,298,455,1636,2671,2092,1771,2210,2612,3016,2259,3584,4522,6975,9474,4700,3121,3331,2356,1043,159
33189,33190,2023-03-03,1호선,150,서울역,하차,237,1637,4143,9551,5799,2501,2124,2467,2674,2610,2689,2776,3764,4448,3259,1792,1548,1115,611,137
33732,33733,2023-03-04,1호선,150,서울역,승차,289,230,598,1271,1980,2512,2755,3451,3161,2445,3487,3544,3349,2825,2497,2127,2187,1635,698,4
33733,33734,2023-03-04,1호선,150,서울역,하차,258,1302,1688,2000,3018,2506,2595,3369,2764,2694,2604,2969,2929,2292,2033,1616,1352,1053,543,51
34276,34277,2023-03-05,1호선,150,서울역,승차,144,144,324,752,1110,1521,1803,2368,2330,1908,2720,2754,2723,2664,2514,2382,2442,1866,646,4
34277,34278,2023-03-05,1호선,150,서울역,하차,112,573,771,1038,1613,1637,1729,2143,2315,2369,2593,2558,2814,2461,2266,1975,1265,719,350,39
34820,34821,2023-03-06,1호선,150,서울역,승차,327,566,2228,3058,2376,1864,2172,2534,2408,2140,2835,3256,5814,8988,4067,2590,2446,1417,582,63
34821,34822,2023-03-06,1호선,150,서울역,하차,333,2186,4779,10385,6011,2644,2110,2276,2115,1820,2136,2053,2550,2950,1824,1175,981,670,344,94
35364,35365,2023-03-07,1호선,150,서울역,승차,306,505,1715,2873,2020,1808,2167,2326,2508,2034,2844,3465,5958,9191,4100,2640,2631,1664,685,57
35365,35366,2023-03-07,1호선,150,서울역,하차,315,1750,4569,10437,6214,2482,2114,2119,1961,1951,2039,2309,2625,3037,1792,1149,1104,830,397,113
35908,35909,2023-03-08,1호선,150,서울역,승차,328,505,1720,2771,2038,1861,2142,2430,2483,2099,2884,3636,6040,9002,3889,2667,2512,1532,669,120
35909,35910,2023-03-08,1호선,150,서울역,하차,300,1725,4323,10319,6307,2540,2051,2160,2095,1719,2236,2255,2720,3067,1682,1164,1085,778,433,126
36452,36453,2023-03-09,1호선,150,서울역,승차,322,517,1737,2941,2096,1951,2297,2575,2611,2100,3114,3730,6276,9110,4418,3044,2937,1953,814,89
36453,36454,2023-03-09,1호선,150,서울역,하차,259,1723,4367,9930,6839,2680,2079,2070,2230,1931,2350,2652,3058,3381,1937,1237,1223,891,484,128
36996,36997,2023-03-10,1호선,150,서울역,승차,338,459,1668,2634,2327,2011,2395,3053,3019,2614,3947,5124,6941,9418,4557,3220,3420,2437,1163,187
36997,36998,2023-03-10,1호선,150,서울역,하차,261,1612,4300,9353,5994,2882,2335,2998,3238,2998,2719,2981,3922,4922,3361,1901,1793,1189,609,210
37540,37541,2023-03-11,1호선,150,서울역,승차,301,295,574,1387,2135,2590,3097,3654,3514,2666,3717,4064,3934,3197,2695,2385,2273,1878,795,17
37541,37542,2023-03-11,1호선,150,서울역,하차,327,1700,1651,2168,3172,2783,2986,3429,3351,3150,3103,3002,2961,2642,2210,1792,1565,1162,649,90
38084,38085,2023-03-12,1호선,150,서울역,승차,157,165,333,696,1101,1665,1878,2433,2459,1839,2650,2717,2745,2870,2482,2419,2503,1612,801,7
38085,38086,2023-03-12,1호선,150,서울역,하차,150,708,762,1103,1625,1559,1623,2263,2227,2466,2465,2330,2838,2427,2458,1857,1458,735,362,41
38628,38629,2023-03-13,1호선,150,서울역,승차,334,551,1880,3434,2284,2011,2301,2642,2657,1942,2835,3218,6025,9184,4089,2806,2629,1556,626,73
38629,38630,2023-03-13,1호선,150,서울역,하차,363,2437,4748,10028,6505,2451,2258,2400,2135,1917,2184,2141,2638,2897,1893,1245,1048,736,340,115
39172,39173,2023-03-14,1호선,150,서울역,승차,329,505,1815,2893,1899,1916,2218,2528,2431,2176,2879,3561,6189,9275,4222,2681,2790,1640,655,70
39173,39174,2023-03-14,1호선,150,서울역,하차,287,1767,4629,10470,6478,2518,2102,2219,2024,1871,2164,2247,3006,2996,1834,1207,1160,871,431,126
39716,39717,2023-03-15,1호선,150,서울역,승차,334,501,1790,2868,2108,1858,2289,2615,2659,2259,3012,3561,6249,9118,3948,2828,2609,1639,690,105
39717,39718,2023-03-15,1호선,150,서울역,하차,311,1835,4240,10418,6396,2471,2201,2181,2187,1963,2158,2295,2955,3155,1742,1241,1149,948,404,157
40260,40261,2023-03-16,1호선,150,서울역,승차,331,509,1763,2957,2108,2085,2256,2471,2582,2321,3282,3777,6312,9249,4161,3139,3267,1751,882,93
40261,40262,2023-03-16,1호선,150,서울역,하차,284,1888,4593,10328,6375,2683,2194,2161,2329,2015,2463,2523,3158,3354,2078,1336,1249,1070,525,168
40804,40805,2023-03-17,1호선,150,서울역,승차,342,464,1677,2714,2261,1942,2358,2954,3173,2525,3681,4890,7068,9207,4210,3357,3587,2827,1133,161
40805,40806,2023-03-17,1호선,150,서울역,하차,308,1908,4174,9360,5940,2655,2481,2959,3118,2772,2845,3121,3900,4676,3337,1884,1949,1249,670,173
41348,41349,2023-03-18,1호선,150,서울역,승차,284,282,588,1428,2226,2327,3547,3780,3559,2633,3748,4402,3932,3442,2962,2467,2571,1709,882,14
41349,41350,2023-03-18,1호선,150,서울역,하차,295,1759,1935,2177,3310,2691,3213,3699,3330,2824,3133,3226,3300,2763,2453,1827,1664,1149,583,76
41892,41893,2023-03-19,1호선,150,서울역,승차,178,234,384,1004,1419,1773,2267,2765,2843,2067,2983,2884,3112,2936,2924,2439,2726,2036,828,4
41893,41894,2023-03-19,1호선,150,서울역,하차,126,784,908,1256,1909,1981,2077,2390,2777,2865,2804,2746,3506,2638,2503,2186,1634,796,408,33
42436,42437,2023-03-20,1호선,150,서울역,승차,347,492,2235,3371,2415,2086,2452,2534,2648,2182,3073,3405,6038,9345,4078,2843,2624,1519,644,70
42437,42438,2023-03-20,1호선,150,서울역,하차,357,2281,4987,10272,6370,2653,2099,2269,2189,2049,2234,2244,2725,2996,1924,1245,1073,801,380,116
42980,42981,2023-03-21,1호선,150,서울역,승차,335,502,1837,3034,2044,1922,2078,2423,2592,2199,2958,3636,6054,9233,4071,2816,2726,1577,733,64
42981,42982,2023-03-21,1호선,150,서울역,하차,303,1879,4867,10503,6355,2607,2326,2154,2016,1980,2212,2295,2761,2979,1838,1260,1177,793,420,132
43524,43525,2023-03-22,1호선,150,서울역,승차,304,533,1761,2839,1983,1853,2220,2488,2647,2181,2945,3730,6282,9268,3906,2741,2657,1617,688,78
43525,43526,2023-03-22,1호선,150,서울역,하차,267,1839,4588,10066,6295,2677,2168,2169,2292,2001,2139,2166,3022,3008,1867,1158,1114,862,390,117
44068,44069,2023-03-23,1호선,150,서울역,승차,336,509,1735,2885,2114,1870,2153,2603,2622,2360,3227,3827,6244,9296,4513,2956,3007,1775,858,129
44069,44070,2023-03-23,1호선,150,서울역,하차,301,1778,4526,9554,7146,2882,2055,2371,2261,2147,2576,2426,3233,3583,2089,1426,1370,822,509,140
44612,44613,2023-03-24,1호선,150,서울역,승차,343,511,1727,2681,2307,2094,2409,3217,3266,2776,3907,4959,7254,9419,4514,3082,3560,2705,1296,169
44613,44614,2023-03-24,1호선,150,서울역,하차,325,1916,4453,9647,6107,2986,2664,3061,3351,2810,2937,2946,4100,4915,3335,1973,1835,1353,662,214
45156,45157,2023-03-25,1호선,150,서울역,승차,292,280,627,1706,2451,3010,3359,3916,3654,3060,4310,4598,4313,3484,2923,2324,2609,1858,980,8
45157,45158,2023-03-25,1호선,150,서울역,하차,351,2011,1893,2215,3601,3048,3386,3827,3463,3181,3537,3429,3496,2925,2288,1888,1722,1288,676,83
45700,45701,2023-03-26,1호선,150,서울역,승차,148,226,345,820,1293,1938,2179,2993,2751,2011,2893,2962,2921,2906,2861,2485,2604,1910,784,11
45701,45702,2023-03-26,1호선,150,서울역,하차,135,1015,1004,1452,2018,1923,2021,2497,2686,2769,2838,2695,3175,2724,2551,2094,1561,888,404,47
46244,46245,2023-03-27,1호선,150,서울역,승차,322,560,2219,3338,2197,2068,2462,2972,2666,2363,3043,3547,6294,9371,4401,2837,2833,1505,754,105
46245,46246,2023-03-27,1호선,150,서울역,하차,377,2436,4995,10424,6423,2791,2584,2402,2251,2183,2330,2344,2687,3281,1863,1260,1090,730,364,120
46788,46789,2023-03-28,1호선,150,서울역,승차,322,516,1799,2934,2185,1869,2441,2494,2564,2264,3070,3595,6618,9470,4275,2926,2917,1789,798,95
46789,46790,2023-03-28,1호선,150,서울역,하차,355,2119,4949,10509,6540,2634,2443,2222,2158,2067,2390,2199,2877,3070,1760,1398,1110,915,506,126
47332,47333,2023-03-29,1호선,150,서울역,승차,318,532,1787,2865,2043,2112,2292,2622,2602,2263,2941,3744,6388,9261,4189,2910,3038,1697,834,112
47333,47334,2023-03-29,1호선,150,서울역,하차,296,1918,4853,10544,6537,2724,2268,2398,2240,2009,2264,2621,2912,3494,1837,1230,1211,898,431,146
47876,47877,2023-03-30,1호선,150,서울역,승차,322,521,1732,2876,2217,1978,2503,2695,2750,2331,3289,3835,6502,9293,4385,3074,3192,2125,867,143
47877,47878,2023-03-30,1호선,150,서울역,하차,326,1979,4796,10623,6707,2722,2503,2483,2404,2123,2395,2439,3267,3437,2107,1435,1331,1018,465,169
48420,48421,2023-03-31,1호선,150,서울역,승차,315,511,1688,2795,2206,1931,2546,3172,3570,3008,3944,4995,6984,9380,4664,3694,3604,2790,1328,173
48421,48422,2023-03-31,1호선,150,서울역,하차,348,2003,4646,10018,6295,3030,2635,3021,3212,3031,2901,3048,3938,4571,3511,1945,1863,1404,701,240
48964,48965,2023-04-01,1호선,150,서울역,승차,300,313,637,1661,2383,2913,3200,3893,3497,2798,3786,3895,3618,3020,2963,2264,2956,2191,889,5
48965,48966,2023-04-01,1호선,150,서울역,하차,437,2205,2163,2295,3418,3119,3179,3836,3452,3080,3015,2807,2853,3016,2291,1974,1667,1116,607,76
49508,49509,2023-04-02,1호선,150,서울역,승차,153,210,374,905,1316,1798,2601,2952,2890,2001,2812,2770,3121,2943,2973,2792,2647,2106,833,18
49509,49510,2023-04-02,1호선,150,서울역,하차,172,1003,1145,1300,2093,1974,2042,2427,2693,2888,2822,2902,2991,2921,2587,2102,1603,906,401,70
50052,50053,2023-04-03,1호선,150,서울역,승차,327,590,2214,3193,2341,2121,2571,2671,2776,2199,3125,3459,6226,9621,4331,2875,3022,1654,849,86
50053,50054,2023-04-03,1호선,150,서울역,하차,378,2418,5092,10542,6459,2750,2230,2394,2203,1947,2123,2278,2695,3068,1811,1467,1084,829,380,82
50596,50597,2023-04-04,1호선,150,서울역,승차,332,531,1873,2708,2210,1946,2193,2455,2487,2222,3014,3623,6567,9265,4234,2699,2835,1755,775,142
50597,50598,2023-04-04,1호선,150,서울역,하차,277,1916,4888,10572,6303,2718,2172,2186,2133,1906,2252,2152,2882,2966,1790,1269,1199,879,374,95
51140,51141,2023-04-05,1호선,150,서울역,승차,236,493,1650,2971,2225,1944,2191,2556,2546,2129,2893,3584,6237,9259,4003,2883,2737,1642,796,119
51141,51142,2023-04-05,1호선,150,서울역,하차,259,1671,4394,9421,7152,2819,2133,2049,2293,1810,1999,2198,2825,3117,1856,1217,1145,832,419,128
51684,51685,2023-04-06,1호선,150,서울역,승차,282,530,1786,3065,2190,2105,2407,2638,2690,2293,3310,4005,6694,9410,4520,3180,2949,1766,950,150
51685,51686,2023-04-06,1호선,150,서울역,하차,276,1863,4615,10595,6575,2819,2331,2325,2457,2018,2322,2615,2948,3462,2121,1520,1376,895,411,123
52228,52229,2023-04-07,1호선,150,서울역,승차,323,523,1671,2668,2226,2127,2566,3199,3329,2669,3917,5235,7361,9281,4864,3182,3588,2846,1307,209
52229,52230,2023-04-07,1호선,150,서울역,하차,341,1906,4488,9670,6322,2705,2432,3157,3196,2726,2935,3087,3869,4832,3567,2035,1836,1285,662,177
52772,52773,2023-04-08,1호선,150,서울역,승차,332,315,711,1468,2311,2871,3094,3861,3597,2615,3599,4130,3893,3402,3032,2521,2643,2116,721,11
52773,52774,2023-04-08,1호선,150,서울역,하차,390,2292,2065,2521,3212,2762,3026,3754,3246,2843,2964,3189,3009,2548,2628,1897,1644,1169,573,66
53316,53317,2023-04-09,1호선,150,서울역,승차,179,239,442,977,1398,1985,2273,3115,2854,2176,2974,3145,3016,2981,2873,2725,2732,1814,699,9
53317,53318,2023-04-09,1호선,150,서울역,하차,165,930,1073,1397,1924,1859,1860,2511,2956,2732,2857,2958,2878,2869,2613,2081,1666,860,421,34
53860,53861,2023-04-10,1호선,150,서울역,승차,330,601,2275,3242,2388,1962,2564,2772,2831,2300,3155,3420,6338,9440,4531,2798,2764,1681,636,108
53861,53862,2023-04-10,1호선,150,서울역,하차,422,2373,5058,10778,6216,2907,2346,2348,2176,1889,2405,2480,2674,3121,1888,1229,1188,769,367,70
54404,54405,2023-04-11,1호선,150,서울역,승차,280,521,1820,2946,2078,2007,2174,2487,2695,2120,3006,3479,6275,9464,4231,2903,2521,1575,722,63
54405,54406,2023-04-11,1호선,150,서울역,하차,284,2004,4930,10273,6722,2623,2200,2101,2071,1866,2093,2101,2755,2918,1737,1247,1086,769,313,106
54948,54949,2023-04-12,1호선,150,서울역,승차,331,510,1777,2935,2194,2099,2409,2690,2634,2171,3156,3759,6534,9335,4350,2782,2791,1717,763,89
54949,54950,2023-04-12,1호선,150,서울역,하차,290,2026,4930,10411,6506,2637,2131,2224,2344,2031,2402,2545,2863,3143,1891,1307,1251,785,393,98
55492,55493,2023-04-13,1호선,150,서울역,승차,319,505,1907,2948,2156,2115,2319,2769,2731,2183,3344,3828,6583,9451,4498,3134,3221,1865,900,114
55493,55494,2023-04-13,1호선,150,서울역,하차,269,2187,4880,10271,6688,2739,2299,2359,2166,2063,2520,2632,3126,3457,1985,1454,1326,883,521,146
56036,56037,2023-04-14,1호선,150,서울역,승차,305,514,1651,2790,2153,2068,2614,3061,3269,2653,3890,4279,6514,9984,4155,4172,3509,2887,1091,190
56037,56038,2023-04-14,1호선,150,서울역,하차,300,1940,4463,9120,6382,2713,2440,3031,3073,2701,2989,2923,3913,4509,3207,1860,1696,1117,637,183
56580,56581,2023-04-15,1호선,150,서울역,승차,245,293,597,1479,2042,2602,3491,3873,3273,2766,3573,3923,3819,3305,2798,2381,2448,1770,816,9
56581,56582,2023-04-15,1호선,150,서울역,하차,329,2063,1973,2275,3136,2768,2768,3599,3151,2734,2869,2782,3181,2522,2161,1753,1514,1064,562,46
57124,57125,2023-04-16,1호선,150,서울역,승차,129,190,329,787,1166,1798,2110,2726,2846,1945,3206,2800,2975,3109,3019,2466,2596,1621,809,15
57125,57126,2023-04-16,1호선,150,서울역,하차,169,1028,1045,1270,1944,1695,1855,2452,2612,2660,2748,2583,3116,2674,2420,1780,1399,757,376,34
57668,57669,2023-04-17,1호선,150,서울역,승차,305,536,2137,3401,2294,2044,2382,2766,2854,2254,3108,3610,6155,9320,4276,2862,2644,1584,666,79
57669,57670,2023-04-17,1호선,150,서울역,하차,357,2363,5049,10523,6243,2883,2297,2397,2253,1939,2234,2178,2854,2990,1813,1168,1056,678,326,70
58213,58214,2023-04-18,1호선,150,서울역,승차,268,513,1841,3036,2130,1864,2133,2453,2383,2086,2809,3440,6423,9367,4277,2760,2577,1583,644,82
58214,58215,2023-04-18,1호선,150,서울역,하차,294,1812,4657,10570,6778,2580,2151,2139,2084,1864,2122,2292,2647,2908,1669,1140,1193,765,375,104
58757,58758,2023-04-19,1호선,150,서울역,승차,302,558,1816,2922,2007,1989,2352,2701,2610,2439,3404,3982,6618,9311,4024,2927,2816,1700,686,98
58758,58759,2023-04-19,1호선,150,서울역,하차,282,1996,4858,10510,6761,2614,2249,2302,2379,2278,2662,2690,3002,3215,1757,1198,1176,923,462,131
59301,59302,2023-04-20,1호선,150,서울역,승차,314,553,1803,2719,2261,2011,2413,2727,2603,2517,3268,3885,6627,9680,4485,2968,2976,1775,814,101
59302,59303,2023-04-20,1호선,150,서울역,하차,293,2045,4815,10163,6896,2848,2276,2316,2362,2079,2490,2607,3095,3438,1971,1322,1194,802,424,115
59845,59846,2023-04-21,1호선,150,서울역,승차,314,540,1687,2832,2246,1987,2345,3284,3081,2832,3959,4774,7372,9189,4373,3136,3353,2924,1093,129
59846,59847,2023-04-21,1호선,150,서울역,하차,309,2012,4586,9889,6121,2752,2280,3283,3163,2740,2836,2918,3638,4476,3159,1976,1714,1119,615,158
60389,60390,2023-04-22,1호선,150,서울역,승차,312,321,626,1543,2241,2836,3185,3592,3486,2527,3581,4261,3701,3152,2923,2329,2531,1868,797,3
60390,60391,2023-04-22,1호선,150,서울역,하차,341,2084,1997,2361,3391,2742,3007,3509,3153,2952,2900,2966,3004,2481,2172,1835,1683,1041,598,46
60933,60934,2023-04-23,1호선,150,서울역,승차,166,205,426,898,1266,1725,2181,2773,2639,2027,2948,2704,2788,2917,3077,2345,2251,1955,607,6
60934,60935,2023-04-23,1호선,150,서울역,하차,175,970,964,1311,1957,1714,2006,2674,2507,2520,2709,2564,2858,2403,2283,1952,1412,772,320,32
61477,61478,2023-04-24,1호선,150,서울역,승차,322,572,2182,3237,2316,1946,2408,2761,2671,2327,2995,3528,6072,9313,4271,2867,2522,1491,637,75
61478,61479,2023-04-24,1호선,150,서울역,하차,387,2310,5001,10295,6368,2775,2233,2428,2249,2131,2157,2306,2824,2930,1806,1175,1034,620,329,88
62021,62022,2023-04-25,1호선,150,서울역,승차,314,548,1837,3039,2046,2089,2101,2687,2745,2061,3022,3325,6399,9228,4142,2676,2621,1453,553,65
62022,62023,2023-04-25,1호선,150,서울역,하차,310,1857,4855,10364,6368,2650,2066,2356,2265,1946,2188,2366,2857,3025,1613,1154,1084,726,346,94
62565,62566,2023-04-26,1호선,150,서울역,승차,316,556,1775,2991,2128,2056,2291,2636,2617,2378,3137,3786,6246,9532,4316,2841,2789,1775,695,83
62566,62567,2023-04-26,1호선,150,서울역,하차,298,1983,4916,10009,6932,2673,2401,2335,2501,2087,2364,2403,3074,3089,1780,1245,1126,937,429,128
63109,63110,2023-04-27,1호선,150,서울역,승차,327,560,1810,2983,2151,1859,2398,2857,2802,2214,3455,3879,6412,9246,4656,3145,3219,2039,885,165
63110,63111,2023-04-27,1호선,150,서울역,하차,339,1985,4878,10229,6824,2716,2328,2465,2484,2207,2609,2606,3145,3560,2013,1580,1321,1017,500,159
63653,63654,2023-04-28,1호선,150,서울역,승차,326,522,1787,2820,2308,2064,2479,3459,3513,2816,3874,5084,7260,9183,4514,3660,3763,2868,1336,273
63654,63655,2023-04-28,1호선,150,서울역,하차,342,2117,4809,9894,6430,2955,2564,3334,3342,2753,2963,3121,3946,4689,3348,2109,1893,1559,697,195
64197,64198,2023-04-29,1호선,150,서울역,승차,252,289,629,1753,2419,2880,3468,3734,4033,2727,3689,4048,3994,3230,3071,2388,2472,1914,764,5
64198,64199,2023-04-29,1호선,150,서울역,하차,370,2104,1850,2291,3169,2548,2704,3406,3891,2932,2990,2948,3415,3060,2312,1960,1719,1107,608,47
64741,64742,2023-04-30,1호선,150,서울역,승차,187,251,432,1061,1602,2157,2561,2990,2929,2023,3005,2960,3388,3199,2993,2572,2698,2097,901,5
64742,64743,2023-04-30,1호선,150,서울역,하차,212,1134,1312,1687,2276,2316,2235,2699,2515,2807,2963,2758,3192,2695,2372,1925,1393,914,475,22
